,Jobtitle,Location,Salary,Company,Cities,USDSalary
58128,Catastrophe Risk Modeler - Surge,London,40800,Risk Management Solutions,"London, Greater London",52224.0
58132,"Data Scientist (Manager) - FS - London - £105,000 + Benefits",London,95000,Lawrence Harvey,"London, Greater London",121600.0
58134,Senior Machine Learning Scientist,London,70000,Harnham,"London, Greater London",89600.0
58145,Lead Data Scientist - customer,London,60000,Harnham,"London, Greater London",76800.0
58166,UX Designer,London,35000,Bud,"London, Greater London",44800.0
58168,Data Engineer – SQL,London,30000,Blue Pelican,"London, Greater London",38400.0
58169,Lead Data Scientist - Consultant,London,50000,We Do Data,"London, Greater London",64000.0
58170,Software Developer: Medical Imaging,London,30000,"IAG, Image Analysis Group","London, Greater London",38400.0
58183,Junior-Full-Stack-JavaScript-Developer,London,35000,Tecknuovo,"London, Greater London",44800.0
58185,Senior Data Manager - Group Analytics,London,49725,Lloyds Banking Group,"London, Greater London",63648.0
58186,Research Associate,South Kensington,37904,Imperial College London,"London, Greater London",48517.12
58190,Senior Data Scientist - Credit Reference Agency,London,70000,Harnham,"London, Greater London",89600.0
58202,Lead Data Scientist,London,65000,Grey Matter Recruitment,"London, Greater London",83200.0
58203,DATA SCIENCE EXPERT,London,60000,Blue Pelican,"London, Greater London",76800.0
58222,Data Science Analyst,London,46000,Harnham,"London, Greater London",58880.0
58223,Quantitative Analyst – Sports Betting,London,50000,Bettor Believe,"London, Greater London",64000.0
58224,Data Engineer - SQL& Python,London,30000,Metrica Recruitment,"London, Greater London",38400.0
58236,Catastrophe Risk Modeler - Surge,London,40800,Risk Management Solutions (RMS),"London, Greater London",52224.0
58243,Head of Growth,London,45000,Be Applied,"London, Greater London",57600.0
58255,Data Engineer,London,50000,Reqiva,"London, Greater London",64000.0
58258,Data Scientist - Team Lead,London,70000,Harnham,"London, Greater London",89600.0
58261,Perfusionist (Leading Private Hospital),London,45000,HCA,"London, Greater London",57600.0
58263,Senior Customer Scientist,London,50000,Harnham,"London, Greater London",64000.0
58275,Senior Data Scientist - Data Science Manager,London,80000,Datatech Analytics,"London, Greater London",102400.0
58279,Scala Software Engineer (Big Data),London,50000,Linux Recruit,"London, Greater London",64000.0
58280,Lead Data Scientist - global entertainment company,London,75000,Harnham,"London, Greater London",96000.0
58293,"Oxbridge/Russell Group Graduate - Quantitative Analyst, Spor...",London,30000,Bettor Believe,"London, Greater London",38400.0
58298,Product Manager,London,50000,MarketInvoice,"London, Greater London",64000.0
58312,Data Engineer,London,40000,Larson Resource Group Limited,"London, Greater London",51200.0
58313,Monoclonal Antibody Scientist in Slough,Slough,36000,CK Group,"London, Greater London",46080.0
58315,Data Science Consultant - R& Python,London,45000,Metrica Recruitment,"London, Greater London",57600.0
58317,Lead Data Engineer,London,80000,Zoopla,"London, Greater London",102400.0
58326,Data Science Manager,London,30000,Datatech Analytics,"London, Greater London",38400.0
58332,Product Manager,London,60000,Curve,"London, Greater London",76800.0
58335,Software Engineers - Core Platforms,London,60000,Babylon Health,"London, Greater London",76800.0
58344,Data Analyst Python SQL Mathematics,London,55000,Client Server,"London, Greater London",70400.0
58351,Research Scientist - blockchain start-up,London,60000,Harnham,"London, Greater London",76800.0
58352,Data Engineer,London,80000,Harnham,"London, Greater London",102400.0
58353,Machine Learning Engineer,London,60000,Modis,"London, Greater London",76800.0
58359,iOS Engineer,London,35000,Ravelin,"London, Greater London",44800.0
58361,Data Engineer,London,90000,Churchill Frank,"London, Greater London",115200.0
58365,Senior Data Engineer,London,70000,Parallel Consulting,"London, Greater London",89600.0
58375,Head of Data Science,London,100000,Cogs Agency,"London, Greater London",128000.0
58376,Data Science Consultant,London,90000,Harnham,"London, Greater London",115200.0
58382,"National Statistician, Chief Executive and Permanent Secreta...",London,150000,Office for National Statistics,"London, Greater London",192000.0
58394,Quantitative Analyst - Tier 1 Investment Bank - PhD,London,50000,Kite Group,"London, Greater London",64000.0
58395,Senior Data Analyst | Entertainment,London,45000,Research Talent Hub,"London, Greater London",57600.0
58413,Python Developer Data - Hedge Fund,London,75000,Client Server,"London, Greater London",96000.0
58417,3 x Research Fellow (Machine Learning),South Kensington,42065,Imperial College London,"London, Greater London",53843.200000000004
58430,Statistician / Senior Statistician,Sutton SM2,32258,Royal Marsden NHS Foundation Trust,"London, Greater London",41290.24
58432,Data Architect,London,70000,Harnham,"London, Greater London",89600.0
58435,Back End Developer,London W1S,60000,Augmento Global,"London, Greater London",76800.0
58449,Machine Learning Engineer,Finsbury Park,40000,Ayuda Heuristics,"London, Greater London",51200.0
58460,Machine Learning Software Engineer,London,35000,Financial Conduct Authority,"London, Greater London",44800.0
58461,Data Analytics Consultant,London,75000,Modis,"London, Greater London",96000.0
58463,Data Scientist - Product Search Engine – London based,London,70000,Opus Recruitment Solutions,"London, Greater London",89600.0
58464,React/Node Software Engineers,London,70000,SoulTek,"London, Greater London",89600.0
58467,Senior Data Strategist,London,35000,Harnham,"London, Greater London",44800.0
58475,Ruby Data Engineer,London,45000,Linux Recruit,"London, Greater London",57600.0
58478,Big Data Engineer,London,35000,Churchill Frank,"London, Greater London",44800.0
58480,Quantitative Analyst,London,90000,LMA Recruitment,"London, Greater London",115200.0
58509,Data Engineer,London,85000,Detail 2 Recruitment Ltd,"London, Greater London",108800.0
58526,Back End Software Engineer,London,55000,Project Sapiens,"London, Greater London",70400.0
58527,Technical Consultant - Data Science,London,70000,Harnham,"London, Greater London",89600.0
58528,Backend Developer – Machine Learning / Big Data / Python / G...,London,50000,techstack Recruitment,"London, Greater London",64000.0
58529,Data Engineer - Big Data,London,50000,kdr Recruitment,"London, Greater London",64000.0
58554,Mid - Senior Python Developer,Old Street,50000,Recyclabox,"London, Greater London",64000.0
58555,Data Engineer (Python) Disruptive FinTech Start Up,West End,60000,Understanding Recruitment,"London, Greater London",76800.0
58556,Implementation Engineer,London,50000,Behavox,"London, Greater London",64000.0
58557,Data Science Engineer - consultancy,London,70000,Harnham,"London, Greater London",89600.0
58560,Marketing / Growth Manager,London,35000,Snaptrip,"London, Greater London",44800.0
58572,Head of Business Intelligence,London,60000,ManaTM,"London, Greater London",76800.0
58573,Data Science Manager,London,85000,Prime Professional Recruitment Limited,"London, Greater London",108800.0
58574,Data Science Lead - recommenders,London,80000,Harnham,"London, Greater London",102400.0
58607,Mid-Full-Stack-JavaScript-Developer,London,40000,Tecknuovo,"London, Greater London",51200.0
58609,Quantitative Strategist - Machine Learning,London,90000,Harnham,"London, Greater London",115200.0
58621,Director of Data Science,London,85000,Datatech Analytics,"London, Greater London",108800.0
58624,Data Engineer,London,50000,Talent International,"London, Greater London",64000.0
58625,Full-stack Developer,London,40000,Fractal Labs,"London, Greater London",51200.0
58634,Lead Statistician,Sutton SM2,47078,Royal Marsden NHS Foundation Trust,"London, Greater London",60259.840000000004
58640,"QUANTITATIVE ANALYST (VBA, MATLAB)",London,40000,Utility People,"London, Greater London",51200.0
58654,"Data Scientist (Senior Manager) - FS - £125,000 + Benefits",London,95000,Lawrence Harvey,"London, Greater London",121600.0
